mile,lat,lon,nearest_main_m,main_Trail_Name,canonical_section,segment,route,main_Corridor,main_Trail_ID,main_LandUnit_N,main_Manager_Na,main_Eng_Seg,main_Start_Seg,nearest_alt_m,alt_Trail_Name,alt_Corridor,alt_Trail_ID,alt_LandUnit_N,alt_Manager_Na,alt_Eng_Seg,alt_Start_Seg
25,26.114124,-81.037668,3.8,Big Cypress North,Big Cypress South,,,Main,T532,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,68471.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
26,26.121109,-81.045855,5.7,Big Cypress North,Big Cypress South,,,Main,T532,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,67999,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
27,26.127672,-81.059468,7.4,Big Cypress North,Big Cypress South,,,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,67773.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
28,26.136347,-81.071419,0.3,Big Cypress North,Big Cypress South,,,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,67302,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
29,26.150639,-81.072061,7.4,Big Cypress North,Big Cypress South,,,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,65851.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
30,26.161196,-81.072076,5,Big Cypress North,Big Cypress South,,,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,64767.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
31,26.169138,-81.072501,1.3,Big Cypress North,Big Cypress North,,,Main,T158,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,63969.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
32,26.182082,-81.067195,2.8,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,62437.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
33,26.195887,-81.068575,7.6,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,61082.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
34,26.209754,-81.071598,1.5,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,59798.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
35,26.223376,-81.072892,4.2,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,58479.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
36,26.234841,-81.070646,8.2,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,57232,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
37,26.242888,-81.061346,3.5,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Panther Camp,Junction Nobles Rd and Jones Grade,56025.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
38,26.234746,-81.049254,1.9,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Panther Camp,Junction Nobles Rd and Jones Grade,56351.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
39,26.230096,-81.03572,3,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Panther Camp,Junction Nobles Rd and Jones Grade,56301.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
40,26.217916,-81.028539,4.9,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Panther Camp,Junction Nobles Rd and Jones Grade,57296.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
41,26.211311,-81.030678,13.5,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Carpenter Camp,Panther Camp,58058.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
42,26.202805,-81.041498,6.5,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Carpenter Camp,Panther Camp,59331.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
43,26.193561,-81.050197,4,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Carpenter Camp,Panther Camp,60608.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
44,26.186544,-81.056462,7.2,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Junction with Nobles Rd,Carpenter Camp,61567.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
45,26.179924,-81.065796,0.6,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Junction with Nobles Rd,Carpenter Camp,62604,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
46,26.191969,-81.068463,158.5,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,61477.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
47,26.196452,-81.059062,0,Big Cypress North Red Flag Cross Trail,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Junctino with FNST,Junction with Loop Trail,60649.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
48,26.197639,-81.046406,180.2,Big Cypress North,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Carpenter Camp,Panther Camp,60046.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
49,26.205686,-81.052133,3.8,Big Cypress North Yellow Flag Cross Trail,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Junction with Loop Trail,Junction with FNST,59435.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
50,26.200908,-81.064375,2.5,Big Cypress North Yellow Flag Cross Trail,Big Cypress North,,,Main, ,Big Cypress National Preserve,US NPS,Junction with Loop Trail,Junction with FNST,60403.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
51,26.211325,-81.068772,330.1,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,59522.9,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
52,26.22575,-81.067447,423.4,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,58010,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
53,26.240174,-81.066123,79.7,Big Cypress North,Big Cypress North,,,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,56502.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
54,26.247746,-81.077462,6.7,Big Cypress North,Big Cypress North,,,Main,T159,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,56245.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
55,26.258105,-81.087906,10.1,Big Cypress-Seminole,Big Cypress North,,,Main,T700,Big Cypress Seminole Indian Reservation,Private,Cross West Feeder Canal,Fence at south boundary,55706.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
56,26.271577,-81.087712,4.6,Big Cypress-Seminole,Big Cypress North,,,Main,T700,Big Cypress Seminole Indian Reservation,Private,Cross West Feeder Canal,Fence at south boundary,54382.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
57,26.285075,-81.088477,0.8,Big Cypress-Seminole,Big Cypress North,,,Main,T700,Big Cypress Seminole Indian Reservation,Private,Cross West Feeder Canal,Fence at south boundary,53113.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
58,26.295313,-81.081297,7.3,Big Cypress-Seminole,Big Cypress North,,,Main,T700,Big Cypress Seminole Indian Reservation,Private,Cross West Feeder Canal,Fence at south boundary,51769.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
59,26.30469,-81.069111,0.7,Big Cypress-Seminole,Big Cypress North,,,Main,T160,Big Cypress Seminole Indian Reservation,Private,Junction West Boundary Rd and CR 833/Josie Billie Hwy,Cross West Feeder Canal,50263.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
60,26.31711,-81.060836,28.7,Big Cypress-Seminole,Big Cypress North,,,Main,T160,Big Cypress Seminole Indian Reservation,Private,Junction West Boundary Rd and CR 833/Josie Billie Hwy,Cross West Feeder Canal,48655.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
61,26.327639,-81.05424,15.8,Billie Swamp Safari Spur Trail,Big Cypress North,,,Main,T299,Billie Swamp Safari Spur Trail Connector,Roadwalk,Join Billie Swamp Safari Campground,Leave Big Cypress Seminole,47312.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
62,26.324115,-81.049548,19.2,Big Cypress-Seminole,Big Cypress North,,,Main,T589,Big Cypress Seminole Indian Reservation,Private,Junction West Boundary Rd and CR 833/Josie Billie Hwy,Cross West Feeder Canal,47430.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
63,26.33125,-81.035581,7.2,Big Cypress-Seminole,Big Cypress North,,,Main,T589,Big Cypress Seminole Indian Reservation,Private,Junction West Boundary Rd and CR 833/Josie Billie Hwy,Cross West Feeder Canal,46077.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
64,26.329765,-81.019527,36.5,Big Cypress-Seminole,Big Cypress North,,,Main,T589,Big Cypress Seminole Indian Reservation,Private,Junction West Boundary Rd and CR 833/Josie Billie Hwy,Cross West Feeder Canal,45511,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
65,26.327504,-81.003685,8,Big Cypress-Seminole,Big Cypress North,,,Main,T589,Big Cypress Seminole Indian Reservation,Private,Junction West Boundary Rd and CR 833/Josie Billie Hwy,Cross West Feeder Canal,45081,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
66,26.318931,-80.991444,21.1,Big Cypress-Seminole,Big Cypress North,,,Main,T75,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,45488.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
67,26.310362,-80.978545,3.1,Big Cypress-Seminole,Big Cypress North,,,Main,T75,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,45920.9,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
68,26.305936,-80.963247,4.5,Big Cypress-Seminole,Big Cypress North,,,Main,T75,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,45891.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
69,26.307073,-80.947161,30.2,Big Cypress-Seminole,Big Cypress North,,,Main,T75,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,45301.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
70,26.30707,-80.931034,1.5,Big Cypress-Seminole,Big Cypress North,,,Main,T75,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,44883.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
71,26.306534,-80.914945,4.9,Big Cypress-Seminole,Big Cypress North,,,Main,T75,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,44578.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
72,26.303436,-80.899176,13.6,Big Cypress-Seminole,Big Cypress North,,,Main,T75,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,44612.9,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
73,26.314116,-80.895992,42.1,Big Cypress-Seminole,Big Cypress North,,,Main,T161,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,43388.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
74,26.317227,-80.882708,41.1,Big Cypress-Seminole,Big Cypress North,,,Main,T161,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,42731.2,Okeechobee East,Eastern,T201,Lake Okeechobee,ACoE,North Side of Pahokee State Park,East side of S-3 Lock
75,26.330005,-80.882077,8.9,Big Cypress-Seminole,Big Cypress North,,,Main,T161,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,41360.4,Okeechobee East,Eastern,T201,Lake Okeechobee,ACoE,North Side of Pahokee State Park,East side of S-3 Lock
76,26.341181,-80.889969,43.6,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,40320.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
77,26.352459,-80.899864,6.8,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,39271.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
78,26.363759,-80.909765,119,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,38257,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
79,26.375139,-80.919746,214.7,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,37276.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
80,26.386512,-80.929737,171,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,36341.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
81,26.397882,-80.939734,74.5,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,35455.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
82,26.410291,-80.946469,63.1,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,34394.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
83,26.424723,-80.946508,107.1,L3/L2 Canal Levee,Seminole,,,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,32904.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
84,26.438917,-80.946647,87,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,31454.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
85,26.45313,-80.946831,27.8,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,30016.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
86,26.467295,-80.946866,45.3,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,28592.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
87,26.481764,-80.947067,3.6,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,27162,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
88,26.496235,-80.947341,21.1,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,25754.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
89,26.510673,-80.947604,80.6,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,24375,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
90,26.525144,-80.947875,39.3,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,23021.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
91,26.539614,-80.948197,9.2,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,21704.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
92,26.554084,-80.948516,21.3,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,20427.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
93,26.568553,-80.948861,7.6,L2 Canal Levee,Seminole,,,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,19201.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock
